X,Y
1,59
2,52
3,59
3,57
3,30
3,50
6,71
6,78
6,64
7,105
7,72
8,116
9,86
10,119
10,97
11,147
11,143
11,147
14,148
15,174
15,177
16,179
18,206
19,193
20,210
22,234
23,232
24,219
24,254
29,303
32,293
33,315
33,311
36,370
37,350
38,345
38,382
38,344
39,377
39,363
43,400
43,435
44,402
45,427
47,439
48,451
48,462
48,475
50,470
52,502
53,528
53,516
54,493
55,517
58,571
58,530
61,567
61,583
61,551
62,577
63,599
63,591
64,621
64,624
65,623
66,635
67,605
68,624
70,633
70,636
73,691
73,695
73,680
73,707
74,692
74,683
75,700
75,688
77,737
79,745
80,739
80,736
82,755
83,759
83,761
86,804
87,804
92,860
93,861
93,845
95,867
96,902
96,897
96,898
97,887
98,905
99,934
100,936
100,917
100,913
